Index,Book Name,Author,Rating,Number of Votes,Score
369,The Bandit Queens,Parini Shroff,3.93,"37,825",360
370,Her Last Flight,Beatriz Williams,4.15,"14,843",357
371,Thistlefoot,GennaRose Nethercott,3.95,"20,404",356
372,The House of Doors,Tan Twan Eng,4.13,"14,421",356
373,The Illness Lesson,Clare Beams,3.28,"2,902",354
374,The Wonder Boy of Whistle Stop,Fannie Flagg,4.10,"18,515",352
375,Deacon King Kong,James McBride,4.17,"72,668",351
376,The Promise,Damon Galgut,3.86,"45,092",351
377,All the Dangerous Things,Stacy Willingham,4.06,"214,344",351
378,Happy-Go-Lucky,David Sedaris,4.17,"44,132",350
379,The Cousins,Karen M. McManus,3.77,"125,578",346
380,Big Swiss,Jen Beagin,3.68,"94,276",345
381,The Paris Hours,Alex George,3.70,"14,660",344
382,"Jade Legacy (The Green Bone Saga, #3)",Fonda Lee,4.64,"30,354",343
383,"The Cheat Sheet (The Cheat Sheet, #1)",Sarah Adams,3.72,"276,481",343
384,"What Happened To You?: Conversations on Trauma, Resilience, and Healing",Bruce D. Perry,4.44,"89,865",343
385,"Leviathan Falls (The Expanse, #9)",James S.A. Corey,4.54,"58,550",342
386,I Want You to Know We’re Still Here: A Post-Holocaust Memoir,Esther Safran Foer,3.91,"2,540",341
387,"What Moves the Dead (Sworn Soldier, #1)",T. Kingfisher,3.89,"86,311",340
388,"The Real Anthony Fauci: Bill Gates, Big Pharma, and the Global War on Democracy and Public Health",Robert F. Kennedy Jr.,4.51,"7,038",339
389,Imaginary Museums: Stories,Nicolette Polek,3.64,622,338
390,"The Prison Healer (The Prison Healer, #1)",Lynette Noni,4.18,"100,977",334
391,"Demon in the Wood (Grishaverse, #0)",Leigh Bardugo,4.11,"43,887",333
392,"Lost in the Moment and Found (Wayward Children, #8)",Seanan McGuire,4.32,"14,013",333
393,To Wake the Giant: A Novel of Pearl Harbor,Jeff Shaara,4.43,"3,721",332
394,"The Bone Shard Daughter (The Drowning Empire, #1)",Andrea Stewart,4.00,"32,158",332
395,The Operator,Gretchen Berg,3.30,"6,467",331
396,Check & Mate,Ali Hazelwood,3.96,"245,222",331
397,The Darkness Outside Us,Eliot Schrefer,4.32,"24,637",331
398,Home Body,Rupi Kaur,4.06,"136,935",328
399,Weather,Jenny Offill,3.55,"37,321",327
400,Once Upon a Time in Hollywood,Quentin Tarantino,3.88,"20,136",327
401,"The Golden Enclaves (The Scholomance, #3)",Naomi Novik,4.13,"83,794",327
402,"Break Your Glass Slippers (You Are Your Own Fairy Tale, #1)",Amanda Lovelace,3.95,"15,154",326
403,"Ace: What Asexuality Reveals About Desire, Society, and the Meaning of Sex",Angela Chen,4.35,"16,847",326
404,Hell of a Book,Jason Mott,4.04,"24,269",326
405,"A River Enchanted (Elements of Cadence, #1)",Rebecca Ross,4.09,"67,098",325
406,"Powerless (Chestnut Springs, #3)",Elsie Silver,4.07,"247,571",324
407,Instructions for Dancing,Nicola Yoon,3.97,"53,144",323
408,"Under One Roof (The STEMinist Novellas, #1)",Ali Hazelwood,3.66,"173,463",318
409,"Below Zero (The STEMinist Novellas, #3)",Ali Hazelwood,3.58,"129,323",316
410,The Sweet Taste of Muscadines,Pamela Terry,4.05,"6,304",315
411,"This Poison Heart (This Poison Heart, #1)",Kalynn Bayron,4.12,"27,692",313
412,"That Time I Got Drunk and Saved a Demon (Mead Mishaps, #1)",Kimberly Lemming,3.91,"42,598",310
413,"Gleam (The Plated Prisoner, #3)",Raven Kennedy,4.38,"130,336",309
414,The Girl Who Fell Beneath the Sea,Axie Oh,4.10,"75,075",309
415,"Stuck with You (The STEMinist Novellas, #2)",Ali Hazelwood,3.57,"137,205",307
416,These Tangled Vines,Julianne MacLean,4.27,"70,822",306
417,The Lies That Bind,Emily Giffin,3.76,"75,183",304
418,These Precious Days: Essays,Ann Patchett,4.43,"40,337",303
419,Pickard County Atlas,Chris Harding Thornton,3.52,"1,113",301
420,Riot Baby,Tochi Onyebuchi,3.72,"11,277",301
421,LOVE OVER CAPPUCCINO,Mansi Modi,3.88,26,300
422,Fateful Destiny: An Epic Struggle to Change the Course of American History,Marshall Anders,3.68,349,300
423,Metaphysics of Sound,"Nataša Pantović",4.93,15,300
424,"Glint (The Plated Prisoner, #2)",Raven Kennedy,4.16,"142,868",300
425,Anshuman krit Saral Vastu Gyan,Anshuman Srivastav,5.00,15,300
426,My Dirty California,Jason Mosberg,3.96,293,300
427,Bewilderment,Richard Powers,3.91,"62,999",299
428,How to Avoid a Climate Disaster: The Solutions We Have and the Breakthroughs We Need,Bill Gates,4.13,"48,028",299
429,The Other Mrs.,Mary Kubica,3.75,"128,561",299
430,The Seven Moons of Maali Almeida,Shehan Karunatilaka,3.92,"47,243",297
431,"System Collapse (The Murderbot Diaries, #7)",Martha Wells,4.23,"46,661",296
432,The Likely Resolutions of Oliver Clock,Jane Riley,3.75,"13,622",295
433,"Well Played (Well Met, #2)",Jen DeLuca,3.52,"30,715",294
434,All My Rage,Sabaa Tahir,4.50,"53,537",293
435,Conjure Women,Afia Atakora,3.88,"17,870",292
436,Djinn Patrol on the Purple Line,Deepa Anappara,3.81,"11,230",292
437,The Reappearance of Rachel Price,Holly Jackson,4.12,"101,641",292
438,The Last Thing He Told Me,Laura Dave,3.83,"1,013,619",291
439,The Second Mrs. Astor,Shana Abe,3.97,"61,962",290
440,"The Stardust Thief (The Sandsea Trilogy, #1)",Chelsea Abdullah,4.01,"24,369",290
441,Upgrade,Blake Crouch,3.81,"102,047",289
442,"The Sunshine Court (All For the Game, #4)",Nora Sakavic,4.58,"13,753",289
443,The Bright Side Sanctuary for Animals,Becky Mandelbaum,3.63,963,288
444,The Turnout,Megan Abbott,3.11,"21,358",288
445,"A Beautifully Foolish Endeavor (The Carls, #2)",Hank Green,4.24,"51,534",288
446,The Office of Historical Corrections,Danielle Evans,4.18,"34,488",288
447,Yumi and the Nightmare Painter,Brandon Sanderson,4.47,"65,862",287
448,"Walk the Wire (Amos Decker, #6; Will Robie, #5.5)",David Baldacci,4.15,"59,396",286
449,Mary Jane,Jessica Anya Blau,4.14,"93,590",286
450,"All the Feels (Spoiler Alert, #2)",Olivia Dade,3.86,"24,060",285
451,"The Madness of Crowds (Chief Inspector Armand Gamache, #17)",Louise Penny,4.19,"70,731",285
452,"To The End (Hannaford Prep, #4)",J. Bree,4.40,"13,996",284
453,The Summer of Broken Rules,K.L. Walther,3.90,"232,789",283
454,"A Stitch in Time (A Stitch in Time, #1)",Kelley Armstrong,4.01,"11,547",281
455,"Light Bringer (Red Rising Saga, #6)",Pierce Brown,4.75,"50,908",280
456,Irreversible Damage: The Transgender Craze Seducing Our Daughters,Abigail Shrier,4.14,"11,995",278
457,"Lore Olympus: Volume Four (Lore Olympus, #4)",Rachel Smythe,4.49,"33,725",278
458,"The Summer Deal (Wildstone, #5)",Jill Shalvis,3.82,"9,048",277
459,Twilight of Democracy: The Seductive Lure of Authoritarianism,Anne Applebaum,3.91,"14,753",277
460,XOXO,Axie Oh,3.82,"37,209",277
461,"Murtagh (The Inheritance Cycle, #5)",Christopher Paolini,4.16,"30,593",277
462,Honey Girl,Morgan Rogers,3.67,"43,537",275
463,What My Bones Know: A Memoir of Healing from Complex Trauma,Stephanie Foo,4.52,"53,364",274
464,Little Secrets,Jennifer Hillier,4.22,"155,403",273
465,Solito,Javier Zamora,4.48,"51,223",271
466,Starling House,Alix E. Harrow,3.82,"101,689",270
467,Strange Hotel,Eimear McBride,2.94,"1,576",269
468,"Almost Just Friends (Wildstone, #4)",Jill Shalvis,3.95,"9,324",269
469,A History of My Brief Body,Billy-Ray Belcourt,4.20,"5,009",269
470,"Return of the Trickster (Trickster, #3)",Eden Robinson,4.11,"3,061",267
471,Ariadne,Jennifer Saint,3.80,"126,902",266
472,The First Woman,Jennifer Nansubuga Makumbi,4.15,"7,670",266
473,The Unmaking of June Farrow,Adrienne Young,4.16,"88,445",266
474,The Last House on Needless Street,Catriona Ward,3.85,"110,832",265
475,Atlas of the Heart: Mapping Meaningful Connection and the Language of Human Experience,Brené Brown,4.32,"82,811",265
476,Have You Seen Me?,Kate White,3.61,"16,568",264
477,The Bone Maker,Sarah Beth Durst,3.85,"3,086",264
478,Kaikeyi,Vaishnavi Patel,4.19,"31,669",264
479,The Constant Rabbit,Jasper Fforde,4.07,"9,571",263
480,The Midnight Bargain,C.L. Polk,3.76,"14,834",263
481,"Hook, Line, and Sinker (Bellinger Sisters, #2)",Tessa Bailey,3.91,"388,925",263
482,"Wild Sign (Alpha & Omega, #6)",Patricia Briggs,4.51,"22,210",263
483,"Anatomy (The Anatomy Duology, #1)",Dana Schwartz,3.84,"89,245",263
484,Don’t Burn This Book: Thinking for Yourself in an Age of Unreason,Dave Rubin,3.77,"3,717",261
485,Hang the Moon,Jeannette Walls,3.83,"72,817",261
486,"Float Plan (Beck Sisters, #1)",Trish Doller,3.95,"32,187",260
487,"Dear Justyce (Dear Martin, #2)",Nic Stone,4.40,"18,059",260
488,The Violin Conspiracy,Brendan Slocumb,4.12,"58,609",259
489,"Agent Sonya: Lover, Mother, Soldier, Spy",Ben Macintyre,4.16,"15,054",258
490,"Why Fish Don’t Exist: A Story of Loss, Love, and the Hidden Order of Life",Lulu Miller,4.16,"44,020",258
491,"Imogen, Obviously",Becky Albertalli,4.23,"23,685",258
492,Great Circle,Maggie Shipstead,4.11,"72,348",258
493,The Lost Girls of Devon,Barbara O'Neal,4.22,"37,617",256
494,"The Book Woman's Daughter (The Book Woman of Troublesome Creek, #2)",Kim Michele Richardson,4.23,"72,311",256
495,"Corona, False Alarm?: Facts and Figures",Karina Reiss,4.12,684,255
496,"Terciel and Elinor (The Old Kingdom, #6)",Garth Nix,4.19,"7,011",255
497,"Arsenic and Adobo (Tita Rosie's Kitchen Mystery, #1)",Mia P. Manansala,3.54,"70,350",255
498,No Time Like the Future: An Optimist Considers Mortality,Michael J. Fox,4.12,"22,060",254
499,"A Shadow in the Ember (Flesh and Fire, #1)",Jennifer L. Armentrout,4.47,"179,560",253
500,The Other Side of Beautiful,Kim Lock,3.94,"6,029",253
501,When We Were Birds,Ayanna Lloyd Banwo,3.79,"7,778",248
502,Hester,Laurie Lico Albanese,3.97,"40,177",247
503,All the Sinners Bleed,S.A. Cosby,4.23,"67,890",246
504,Violeta,Isabel Allende,4.03,"89,582",246
505,You Deserve Each Other,Sarah Hogle,3.91,"118,604",245
506,The Island,Adrian McKinty,3.77,"36,789",244
507,Lucy by the Sea,Elizabeth Strout,3.91,"70,517",244
508,"The American Roommate Experiment (Spanish Love Deception, #2)",Elena Armas,3.81,"232,712",244
509,Upright Women Wanted,Sarah Gailey,3.61,"21,778",243
510,She Gets the Girl,Rachael Lippincott,4.10,"62,931",243
511,Wilmington's Lie: The Murderous Coup of 1898 and the Rise of White Supremacy,David Zucchino,4.43,"3,788",243
512,The Prophets,Robert Jones Jr.,3.92,"21,011",242
513,The Forest of Vanishing Stars,Kristin Harmel,4.26,"77,866",238
514,Wish You Were Here,Jodi Picoult,3.92,"254,842",236
515,The Fortunes of Jaded Women,Carolyn Huynh,3.64,"17,066",236
516,"The Creation of Me, Them and Us",Heather Marsh,4.66,35,235
517,Just as I Am,Cicely Tyson,4.51,"10,707",232
518,Em,Kim Thúy,4.11,"6,126",232
519,How High We Go in the Dark,Sequoia Nagamatsu,3.83,"60,627",232
520,Cinderella Is Dead,Kalynn Bayron,3.68,"79,779",231
521,"Murder on Cold Street (Lady Sherlock, #5)",Sherry Thomas,4.20,"12,505",230
522,SPY×FAMILY 3,Tatsuya Endo,4.51,"39,519",228
523,Furia,Yamile Saied Méndez,4.16,"14,115",227
524,The Survivors,Jane Harper,3.76,"100,025",226
525,The ABCs of Black History,Rio Cortez,4.66,937,225
526,"Well Matched (Well Met, #3)",Jen DeLuca,3.85,"26,850",225
527,The Wife Stalker,Liv Constantine,3.73,"42,676",224
528,Excuse Me While I Ugly Cry,Joya Goffney,4.08,"25,846",224
529,The End of the World Is Just the Beginning: Mapping the Collapse of Globalization: The Collapse of Globalization and Its Aftermath,Peter Zeihan,4.18,"10,792",222
530,The Dawn of Everything: A New History of Humanity,David Graeber,4.20,"20,780",221
531,The Road Trip,Beth O'Leary,3.57,"101,726",220
532,Weather Girl,Rachel Lynn Solomon,3.62,"45,644",219
533,Snapdragon,Kat Leyh,4.48,"15,452",217
534,Breath: The New Science of a Lost Art,James Nestor,4.15,"93,846",217
535,Our Woman in Moscow,Beatriz Williams,4.06,"22,835",216
536,Let Us Descend,Jesmyn Ward,3.70,"29,349",216
537,"Fevered Star (Between Earth and Sky, #2)",Rebecca Roanhorse,4.10,"17,752",215
538,"Winterkeep (Graceling Realm, #4)",Kristin Cashore,4.02,"17,048",215
539,Flamer,Mike Curato,4.32,"10,635",215
540,Minor Feelings: An Asian American Reckoning,Cathy Park Hong,4.21,"41,324",215
541,"Beyond That, the Sea",Laura Spence-Ash,4.24,"41,916",213
542,An Immense World: How Animal Senses Reveal the Hidden Realms Around Us,Ed Yong,4.47,"26,980",211
543,"A Fever in the Heartland: The Ku Klux Klan's Plot to Take Over America, and the Woman Who Stopped Them",Timothy Egan,4.38,"32,597",210
544,"Lore Olympus: Volume One (Lore Olympus, #1)",Rachel Smythe,4.25,"147,027",210
545,The Family,Naomi Krupitsky,3.56,"27,030",209
546,Light from Uncommon Stars,Ryka Aoki,4.06,"33,019",209
547,"Twisted Love (Twisted, #1)",Ana Huang,3.72,"1,113,175",209
548,The Familiar Dark,Amy Engel,3.74,"8,465",208
549,"Lore Olympus: Volume Three (Lore Olympus, #3)",Rachel Smythe,4.48,"46,210",207
550,The Black Cabinet: The Untold Story of African Americans and Politics During the Age of Roosevelt,Jill Watts,4.13,307,203
551,Unmasked: My Life Solving America's Cold Cases,Paul Holes,4.10,"26,359",203
552,Under a White Sky: The Nature of the Future,Elizabeth Kolbert,4.10,"12,178",201
553,"Last Memoria (Memoria Duology, #1)",Rachel Emma Shaw,3.78,277,200
554,"Abandoned in Death (In Death, #54)",J.D. Robb,4.40,"25,004",200
555,The Witch King (Witch King #1),H.E. Edgmon,3.89,"5,388",200
556,The Civil War of Amos Abernathy,Michael Leali,4.31,903,200
557,Shrines of Gaiety,Kate Atkinson,3.85,"37,263",200
558,The Ice Cream Man and Other Stories,Sam Pink,4.10,588,199
559,The Dominant Animal,Kathryn Scanlan,3.58,621,199
560,"The Bard's Blade (The Sorcerer's Song, #1)",Brian D. Anderson,3.65,625,199
561,A Girl Like Me,Angela Johnson,3.71,392,199
562,North Woods,Daniel Mason,4.14,"56,621",199
563,What We Don't Talk About When We Talk About Fat,Aubrey Gordon,4.41,"16,085",198
564,"A Million Kisses in Your Lifetime (Lancaster Prep, #2)",Monica Murphy,3.77,"154,102",198
565,The Silence,Daisy Pearce,3.81,"6,393",197
566,A Kind of Spark,Elle McNicoll,4.52,"8,776",197
567,Every Last Fear,Alex Finlay,3.93,"48,246",197
568,A Day Like This,Kelley McNeil,4.20,"31,079",197
569,A Very Punchable Face,Colin Jost,4.21,"57,047",197
570,"The Butcher and the Wren (Dr. Wren Muller, #1)",Alaina Urquhart,3.73,"77,595",197
571,Wellness,Nathan Hill,3.99,"54,048",197
572,Followers,Megan Angelo,3.62,"18,401",196
573,Safe No Longer,Gayle Curtis,3.63,628,196
574,Open Book,Jessica Simpson,4.11,"105,197",196
575,Calling for a Blanket Dance,Oscar Hokeah,4.25,"4,682",196
576,Glory,NoViolet Bulawayo,3.70,"5,178",196
577,The Chaos Machine: The Inside Story of How Social Media Rewired Our Minds and Our World,Max Fisher,4.28,"6,300",196
578,The River We Remember,William Kent Krueger,4.28,"71,034",196
579,Beautyland,Marie-Helene Bertino,4.14,"11,319",196
580,"Imagine Me (Shatter Me, #6)",Tahereh Mafi,4.00,"221,942",196
581,Buses Are a Comin': Memoir of a Freedom Rider,Charles Person,4.50,850,195
582,Letters to My Weird Sisters: On Autism and Feminism,Joanne Limburg,4.11,653,195
583,The Hotel Nantucket,Elin Hilderbrand,4.06,"264,291",195
584,The Sunlit Man,Brandon Sanderson,4.33,"44,342",195
585,Gwen & Art Are Not in Love,Lex Croucher,4.00,"20,632",195
586,Godshot,Chelsea Bieker,3.77,"10,005",194
587,How to Become a Planet,Nicole Melleby,4.24,"1,149",194
588,A History of Wild Places,Shea Ernshaw,3.93,"61,574",194
589,The Devil and the Dark Water,Stuart Turton,3.84,"56,475",194
590,Bad Cree,Jessica Johns,3.92,"14,384",194
591,Never,Ken Follett,4.09,"62,504",194
592,A Life on Our Planet: My Witness Statement and a Vision for the Future,David Attenborough,4.51,"30,712",194
593,"The Fragile Threads of Power (Threads of Power, #1)",Victoria Schwab,4.30,"32,745",194
594,"Believe Me (Shatter Me, #6.5)",Tahereh Mafi,4.14,"126,254",194
595,Black Sunday,Tola Rotimi Abraham,3.64,"2,821",193
596,Kent State,Deborah Wiles,3.96,"4,552",193
597,The Sweeney Sisters,Lian Dolan,3.73,"10,754",193
598,"Exiles (Aaron Falk, #3)",Jane Harper,4.04,"64,108",193
599,"Threads That Bind (Threads That Bind, #1)",Kika Hatzopoulou,3.92,"10,933",193
600,The Candy House,Jennifer Egan,3.64,"61,736",193
601,Jeg foreslår at vi våkner,Beate Grimsrud,3.50,359,192
602,"Magic Claims (Kate Daniels: Wilmington Years, #2; Kate Daniels, #10.6)",Ilona Andrews,4.70,"12,484",192
603,The Passing Playbook,Isaac Fitzsimons,4.13,"9,458",192
604,"Done and Dusted (Rebel Blue Ranch, #1)",Lyla Sage,3.88,"146,397",192
605,"On Vanishing: Mortality, Dementia, and What It Means to Disappear",Lynn Casteel Harper,3.74,459,191
606,Everything Sad Is Untrue,Daniel Nayeri,4.31,"35,562",191
607,Heroin chic,Maria Kjos Fonn,4.02,"1,281",191
608,"White Cat, Black Dog: Stories",Kelly Link,3.84,"6,073",191
609,Memorial Drive: A Daughter's Memoir,Natasha Trethewey,4.25,"21,731",191
610,"Reckless (The Powerless Trilogy, #2)",Lauren Roberts,4.08,"209,027",191
611,The Gravity of Missing Things,Marisa Urgo,3.74,618,190
612,Nothing But Blackened Teeth,Cassandra Khaw,2.66,"43,798",190
613,"Rosaline Palmer Takes the Cake (Winner Bakes All, #1)",Alexis Hall,3.89,"13,503",190
614,"Magic Tides (Kate Daniels: Wilmington Years, #1; Kate Daniels, #10.5)",Ilona Andrews,4.52,"15,235",190
615,"Assistant to the Villain (Assistant to the Villain, #1)",Hannah Nicole Maehrer,3.92,"161,748",190
616,"Sunrise on the Reaping (The Hunger Games, #0.5)",Suzanne Collins,4.82,367,190
617,Boy Parts,Eliza Clark,3.76,"58,934",189
618,Fault Lines: The Social Justice Movement and Evangelicalism's Looming Catastrophe,Voddie T. Baucham Jr.,4.45,"6,159",189
619,Run Towards the Danger: Confrontations with a Body of Memory,Sarah Polley,4.32,"12,584",189
620,When Women Were Dragons,Kelly Barnhill,3.85,"50,749",189
621,Yearbook,Seth Rogen,4.16,"73,521",189
622,The 23rd Midnight (Women's Murder Club #23),James Patterson,4.36,"32,200",189
623,Stone Blind,Natalie Haynes,3.82,"55,920",189
624,"A Study in Drowning (A Study in Drowning, #1)",Ava Reid,3.77,"59,981",189
625,Picking Daisies on Sundays,Liana Cincotti,3.98,"13,139",189
626,Prosper's Demon,K.J. Parker,3.72,"6,037",188
627,The Life That Mattered (Roe & Evie #1; Life #1),Jewel E. Ann,4.27,"6,032",187
628,Ridgeline,Michael Punke,4.28,"3,642",187
629,"Sweep of the Heart (Innkeeper Chronicles, #5)",Ilona Andrews,4.51,"15,374",187
630,Daughter of the Deep,Rick Riordan,4.21,"27,939",186
631,Milk Fed,Melissa Broder,3.57,"65,347",186
632,The Sum of Us: What Racism Costs Everyone and How We Can Prosper Together,Heather McGhee,4.63,"18,989",185
633,"A Map Is Only One Story: Twenty Writers on Immigration, Family, and the Meaning of Home",Nicole Chung,4.02,"1,085",184
634,The Sandman: Act I,Dirk Maggs,4.39,"24,072",184
635,"The Atlas Paradox (The Atlas, #2)",Olivie Blake,3.54,"63,188",184
636,Running Against the Devil: A Plot to Save America from Trump — And Democrats from Themselves,Rick Wilson,4.15,"1,494",183
637,"Sharpe's Assassin (Sharpe, #21)",Bernard Cornwell,4.43,"5,839",183
638,"The Jasmine Throne (The Burning Kingdoms, #1)",Tasha Suri,4.12,"29,734",183
639,"Ruby Fever (Hidden Legacy, #6)",Ilona Andrews,4.43,"17,621",183
640,Afterlives,Abdulrazak Gurnah,3.77,"11,916",182
641,The Guest,Emma Cline,3.29,"89,174",182
642,"A Murderous Relation (Veronica Speedwell, #5)",Deanna Raybourn,4.14,"18,261",181
643,"The War of Two Queens (Blood and Ash, #4)",Jennifer L. Armentrout,4.08,"229,212",181
644,Tiger Mosquitoes: A Medical Crime Thriller,Kenneth J. Stein,3.76,34,181
645,"Written in the Stars (Written in the Stars, #1)",Alexandria Bellefleur,3.86,"56,645",181
646,"Triple Cross (Alex Cross, #30)",James Patterson,4.38,"27,654",181
647,"The Running Grave (Cormoran Strike, #7)",Robert Galbraith,4.60,"84,800",181
648,"Crook Manifesto (Ray Carney, #2)",Colson Whitehead,3.88,"16,431",181
649,Children of Ash and Elm: A History of the Vikings,Neil Price,4.18,"6,836",180
650,A Very Stable Genius: Donald J. Trump's Testing of America,Philip Rucker,4.10,"12,422",180
651,"Axiom's End (Noumena, #1)",Lindsay Ellis,3.72,"25,819",180
652,Ten Steps to Nanette,Hannah Gadsby,4.47,"15,134",180
653,Two Nights in Lisbon,Chris Pavone,3.72,"33,672",180
654,The Book of Accidents,Chuck Wendig,3.73,"24,660",180
655,Monstrilio,"Gerardo Sámano Córdova",4.14,"18,299",180
656,Rednecks,Taylor Brown,3.86,"1,386",180
657,Profiles in Ignorance: How America's Politicians Got Dumb and Dumber,Andy Borowitz,4.35,"4,196",180
658,Broken,Jenny Lawson,4.03,"43,477",179
659,"The Relentless Moon (Lady Astronaut Universe, #3)",Mary Robinette Kowal,4.35,"8,780",179
660,"The Lords of Night (Shadow Bruja, #1)",J.C. Cervantes,4.21,670,179
661,"Victory at Prescott High (The Havoc Boys, #5)",C.M. Stunich,4.36,"13,348",178
662,Absolution,Alice McDermott,3.80,"20,615",178
663,"The Dating Plan (Marriage Game, #2)",Sara Desai,3.63,"44,886",177
664,"The Grief of Stones (The Cemeteries of Amalo, #2)",Katherine Addison,4.31,"5,760",177
665,River Sing Me Home,Eleanor Shearer,4.00,"26,069",177
666,"Emerald Blaze (Hidden Legacy, #5)",Ilona Andrews,4.45,"25,766",177
667,Honor,Thrity Umrigar,4.36,"62,162",177
668,The Age of Witches,Louisa Morgan,3.92,"7,867",176
669,"The Dark Archive (The Invisible Library, #7)",Genevieve Cogman,4.19,"8,790",176
670,I Hate Men,Pauline Harmange,3.82,"12,376",176
671,Entitled: How Male Privilege Hurts Women,Kate Manne,4.21,"5,054",176
672,Lore,Alexandra Bracken,3.75,"97,762",176
673,In Ascension,Martin MacInnes,3.79,"9,035",176
674,"The Hunter (Cal Hooper, #2)",Tana French,4.11,"40,812",176
675,Bittersweet: How Sorrow and Longing Make Us Whole,Susan Cain,3.97,"22,573",175
676,Never Lie,Freida McFadden,4.09,"817,211",175
677,Who Is Maud Dixon?,Alexandra Andrews,3.83,"38,275",174
678,The Lies I Tell,Julie Clark,4.10,"80,997",174
679,Something Wilder,Christina Lauren,3.66,"126,646",174
680,"Lore Olympus: Volume Five (Lore Olympus, #5)",Rachel Smythe,4.47,"22,973",174
681,"Daisy Haites (Magnolia Parks Universe, #2)",Jessa Hastings,4.11,"81,067",174
682,Strange Sally Diamond,Liz Nugent,4.19,"97,084",174
683,Go the Distance,Jen Calonita,4.04,"13,161",174
684,Can the Monster Speak? A Report to an Academy of Psychoanalysts,Paul B. Preciado,4.26,"3,267",173
685,"Hench (Hench, #1)",Natalie Zina Walschots,4.02,"24,161",173
686,Miss Benson's Beetle,Rachel Joyce,4.08,"52,857",173
687,Medusa,Jessie Burton,3.86,"19,112",173
688,Rock Paper Scissors,Alice Feeney,3.91,"495,987",172
689,Ejaculate Responsibly: A Whole New Way to Think About Abortion,Gabrielle Stanley Blair,4.51,"8,392",171
690,"The Undertaking of Hart and Mercy (Hart and Mercy, #1)",Megan Bannen,4.09,"35,800",171
691,Mothered,Zoje Stage,3.31,"10,792",171
692,"22 Seconds (Women’s Murder Club, #22)",James Patterson,4.10,"34,078",171
693,"The Forgotten Kingdom (The Lost Queen, #2)",Signe Pike,4.40,"5,113",171
694,"Sword Catcher (The Chronicles of Castellane, #1)",Cassandra Clare,3.80,"30,864",171
695,Big Friendship: How We Keep Each Other Close,Aminatou Sow,3.75,"24,143",170
696,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,3.88,"305,439",170
697,Heart Bones,Colleen Hoover,4.23,"579,596",170
698,The Familiar,Leigh Bardugo,3.81,"70,676",170
699,The Chief Witness: escape from China’s modern-day concentration camps,Sayragul Sauytbay,4.56,820,169
700,Trust: America's Best Chance,Pete Buttigieg,4.14,"4,833",169
701,The Mermaid of Black Conch,Monique Roffey,3.88,"17,830",169
702,"Made in China: A Prisoner, an SOS Letter, and the Hidden Cost of America's Cheap Goods",Amelia Pang,4.36,"2,029",168
703,Peril,Bob Woodward,4.09,"19,237",168
704,"School Trip (New Kid, #3)",Jerry Craft,4.20,"3,511",168
705,"Iron Heart (Crier's War, #2)",Nina Varela,4.25,"23,797",168
706,"Three Sisters (The Tattooist of Auschwitz, #3)",Heather Morris,4.37,"75,858",168
707,Outlive: The Science & Art of Longevity,Peter Attia,4.37,"62,118",168
708,In an Instant,Suzanne Redfearn,4.35,"97,148",167
709,The Eagle's Claw,Jeff Shaara,4.35,"3,186",167
710,Soulswift,Megan Bannen,3.96,"1,434",167
711,The Perfect World of Miwako Sumida,Clarissa Goenawan,3.83,"4,079",166
712,"Blood & Honey (Serpent & Dove, #2)",Shelby Mahurin,3.52,"125,654",166
713,The Holiday Swap,Maggie Knox,3.58,"61,205",166
714,"Foul Heart Huntsman (Foul Lady Fortune, #2)",Chloe Gong,4.35,"10,739",166
715,"Really Good, Actually",Monica Heisey,3.15,"94,482",165
716,"21st Birthday (Women's Murder Club, #21)",James Patterson,4.17,"37,491",165
717,Easy Crafts for the Insane: A Mostly Funny Memoir of Mental Illness and Making Things,Kelly Williams Brown,3.81,"1,421",164
718,"Kingdom of the Cursed (Kingdom of the Wicked, #2)",Kerri Maniscalco,4.11,"183,210",164
719,These Silent Woods,Kimi Cunningham Grant,4.06,"83,881",164
720,The Heartstopper Yearbook,Alice Oseman,4.40,"27,720",164
721,"City Spies (City Spies, #1)",James Ponti,4.31,"11,922",164
722,"Reckless (Chestnut Springs, #4)",Elsie Silver,4.38,"228,338",164
723,"Foul Lady Fortune (Foul Lady Fortune, #1)",Chloe Gong,4.23,"27,199",164
724,Dragon Hoops,Gene Luen Yang,4.33,"8,827",163
725,What Comes After,JoAnne Tompkins,3.77,"28,251",162
726,"Kate (Madison Kate, #4)",Tate James,4.38,"40,767",162
727,"Find Me (WITSEC, #1)",Ashley N. Rostek,4.35,"29,810",162
728,Haven,Emma Donoghue,3.42,"10,150",162
729,"Our Last Days in Barcelona (The Perez Family, #5)",Chanel Cleeton,4.12,"13,144",162
730,"Unsettled: What Climate Science Tells Us, What It Doesn’t, and Why It Matters",Steven E. Koonin,4.26,"3,388",161
731,One Damn Thing After Another: Memoirs of an Attorney General,William P. Barr,4.01,"2,334",161
732,"Again, Rachel (Walsh Family, #6)",Marian Keyes,4.29,"26,120",161
733,Betting on You,Lynn Painter,4.10,"77,596",161
734,The Last Voyage of the Andrea Doria: The Sinking of the World's Most Glamorous Ship,Greg King,3.94,492,160
735,Everything Beautiful in Its Time: Seasons of Love and Loss,Jenna Bush Hager,4.27,"12,904",160
